game_id,game_date,game_time_et,away_team,home_team,away_team_full_name,home_team_full_name,game_number_this_day,game_number_this_day_and_time,away_team_espn_abbr,home_team_espn_abbr
game_0021900641,1/20/20,3:00 PM,PHI,BKN,Philadelphia 76ers,Brooklyn Nets,3,1,phi,bkn
game_0021900647,1/20/20,5:00 PM,CHI,MIL,Chicago Bulls,Milwaukee Bucks,4,1,chi,mil
game_0021900646,1/20/20,5:00 PM,NOP,MEM,New Orleans Pelicans,Memphis Grizzlies,5,2,no,mem
game_0021900643,1/20/20,5:00 PM,NYK,CLE,New York Knicks,Cleveland Cavaliers,6,3,nyk,cle
game_0021900645,1/20/20,5:00 PM,OKC,HOU,Oklahoma City Thunder,Houston Rockets,7,4,okc,hou
game_0021900642,1/20/20,5:00 PM,ORL,CHA,Orlando Magic,Charlotte Hornets,8,5,orl,cha
game_0021900644,1/20/20,5:00 PM,SAC,MIA,Sacramento Kings,Miami Heat,9,6,sac,mia
game_0021900648,1/20/20,7:30 PM,LAL,BOS,Los Angeles Lakers,Boston Celtics,10,1,lal,bos
game_0021900649,1/20/20,8:00 PM,DEN,MIN,Denver Nuggets,Minnesota Timberwolves,11,1,den,min
game_0021900651,1/20/20,9:00 PM,IND,UTA,Indiana Pacers,Utah Jazz,12,1,ind,uth
game_0021900650,1/20/20,9:00 PM,SAS,PHX,San Antonio Spurs,Phoenix Suns,13,2,sas,phx
game_0021900652,1/20/20,10:00 PM,GSW,POR,Golden State Warriors,Portland Trail Blazers,14,1,gsw,por
game_0021900653,1/21/20,8:30 PM,LAC,DAL,LA Clippers,Dallas Mavericks,1,1,lac,dal
game_0021900655,1/22/20,7:00 PM,OKC,ORL,Oklahoma City Thunder,Orlando Magic,1,1,okc,orl
game_0021900654,1/22/20,7:00 PM,SAC,DET,Sacramento Kings,Detroit Pistons,2,2,sac,det
game_0021900656,1/22/20,7:30 PM,LAC,ATL,LA Clippers,Atlanta Hawks,3,1,lac,atl
game_0021900659,1/22/20,7:30 PM,LAL,NYK,Los Angeles Lakers,New York Knicks,4,2,lal,nyk
game_0021900657,1/22/20,7:30 PM,MEM,BOS,Memphis Grizzlies,Boston Celtics,5,3,mem,bos
game_0021900660,1/22/20,7:30 PM,PHI,TOR,Philadelphia 76ers,Toronto Raptors,6,4,phi,tor
game_0021900658,1/22/20,7:30 PM,WAS,MIA,Washington Wizards,Miami Heat,7,5,was,mia
game_0021900662,1/22/20,8:00 PM,DEN,HOU,Denver Nuggets,Houston Rockets,8,1,den,hou
game_0021900661,1/22/20,8:00 PM,MIN,CHI,Minnesota Timberwolves,Chicago Bulls,9,2,min,chi
game_0021900663,1/22/20,8:00 PM,SAS,NOP,San Antonio Spurs,New Orleans Pelicans,10,3,sas,no
game_0021900664,1/22/20,9:00 PM,IND,PHX,Indiana Pacers,Phoenix Suns,11,1,ind,phx
game_0021900665,1/22/20,10:00 PM,UTA,GSW,Utah Jazz,Golden State Warriors,12,1,uth,gsw
game_0021900666,1/23/20,7:00 PM,WAS,CLE,Washington Wizards,Cleveland Cavaliers,1,1,was,cle
game_0021900667,1/23/20,8:00 PM,LAL,BKN,Los Angeles Lakers,Brooklyn Nets,2,1,lal,bkn
game_0021900668,1/23/20,10:30 PM,DAL,POR,Dallas Mavericks,Portland Trail Blazers,3,1,dal,por
game_0021900669,1/24/20,3:00 PM,MIL,CHA,Milwaukee Bucks,Charlotte Hornets,1,1,mil,cha
game_0021900671,1/24/20,7:00 PM,BOS,ORL,Boston Celtics,Orlando Magic,2,1,bos,orl
game_0021900670,1/24/20,7:00 PM,MEM,DET,Memphis Grizzlies,Detroit Pistons,3,2,mem,det
game_0021900672,1/24/20,7:30 PM,TOR,NYK,Toronto Raptors,New York Knicks,4,1,tor,nyk
game_0021900677,1/24/20,8:00 PM,ATL,OKC,Atlanta Hawks,Oklahoma City Thunder,5,1,atl,okc
game_0021900676,1/24/20,8:00 PM,DEN,NOP,Denver Nuggets,New Orleans Pelicans,6,2,den,no
game_0021900675,1/24/20,8:00 PM,HOU,MIN,Houston Rockets,Minnesota Timberwolves,7,3,hou,min
game_0021900673,1/24/20,8:00 PM,LAC,MIA,LA Clippers,Miami Heat,8,4,lac,mia
game_0021900674,1/24/20,8:00 PM,SAC,CHI,Sacramento Kings,Chicago Bulls,9,5,sac,chi
game_0021900678,1/24/20,8:30 PM,PHX,SAS,Phoenix Suns,San Antonio Spurs,10,1,phx,sas
